team,record,otl,home,away,pts,gf,ga,last_10,streak,win,wins,losses,ties
Maltby Sports,8-1,-,0-0,8-1,16,57,32,8-1,Won 4,.889,8,1,0
J&K Electric,7-3,-,4-1,3-2,14,43,37,7-3,Lost 2,.700,7,3,0
G.R. Mitchell Welding,5-4,-,4-4,1-0,10,52,38,5-4,Won 2,.556,5,4,0
Ultramar,0-6-2,-,0-6-1,0-0-1,2,32,50,0-6-2,Tied 1,.125,0,6,2
Colson Overhead Doors,0-6-2,-,0-1-1,0-5-1,2,26,53,0-6-2,Lost 1,.125,0,6,2
