game_id,status,location,division,start_utc,start_local,home,away,box_score_url,summary_url,home_line,away_line,home_score,away_score,datetime,date,time
3276572,scheduled,Amherst,,2026-01-07T00:45:00+00:00,2026-01-06T20:45:00-04:00,Colson Overhead Doors,Maltby Sports,https://www.amherstadulthockey.com/teams/default.asp?gameID=3276572&u=DSMALL&s=hockey&p=preview,,"{'name': 'Colson Overhead Doors', 'slug': 'colson-overhead-doors', 'final': None, 'periods': [], 'is_winner': None}","{'name': 'Maltby Sports', 'slug': 'maltby-sports', 'final': None, 'periods': [], 'is_winner': None}",,,2026-01-06T20:45:00-04:00,01/06/2026,8:45 PM
3276574,scheduled,Amherst,,2026-01-07T02:00:00+00:00,2026-01-06T22:00:00-04:00,G.R. Mitchell Welding,J&K Electric,https://www.amherstadulthockey.com/teams/default.asp?gameID=3276574&u=DSMALL&s=hockey&p=preview,,"{'name': 'G.R. Mitchell Welding', 'slug': 'gr-mitchell-welding', 'final': None, 'periods': [], 'is_winner': None}","{'name': 'J&K Electric', 'slug': 'j-and-k-electric', 'final': None, 'periods': [], 'is_winner': None}",,,2026-01-06T22:00:00-04:00,01/06/2026,10:00 PM
3276578,scheduled,Amherst,,2026-01-12T01:00:00+00:00,2026-01-11T21:00:00-04:00,Ultramar,J&K Electric,https://www.amherstadulthockey.com/teams/default.asp?gameID=3276578&u=DSMALL&s=hockey&p=preview,,"{'name': 'Ultramar', 'slug': 'ultramar', 'final': None, 'periods': [], 'is_winner': None}","{'name': 'J&K Electric', 'slug': 'j-and-k-electric', 'final': None, 'periods': [], 'is_winner': None}",,,2026-01-11T21:00:00-04:00,01/11/2026,9:00 PM
3276639,scheduled,Amherst,,2026-01-14T00:45:00+00:00,2026-01-13T20:45:00-04:00,G.R. Mitchell Welding,Maltby Sports,https://www.amherstadulthockey.com/teams/default.asp?gameID=3276639&u=DSMALL&s=hockey&p=preview,,"{'name': 'G.R. Mitchell Welding', 'slug': 'gr-mitchell-welding', 'final': None, 'periods': [], 'is_winner': None}","{'name': 'Maltby Sports', 'slug': 'maltby-sports', 'final': None, 'periods': [], 'is_winner': None}",,,2026-01-13T20:45:00-04:00,01/13/2026,8:45 PM
3276642,scheduled,Amherst,,2026-01-14T02:00:00+00:00,2026-01-13T22:00:00-04:00,Ultramar,Colson Overhead Doors,https://www.amherstadulthockey.com/teams/default.asp?gameID=3276642&u=DSMALL&s=hockey&p=preview,,"{'name': 'Ultramar', 'slug': 'ultramar', 'final': None, 'periods': [], 'is_winner': None}","{'name': 'Colson Overhead Doors', 'slug': 'colson-overhead-doors', 'final': None, 'periods': [], 'is_winner': None}",,,2026-01-13T22:00:00-04:00,01/13/2026,10:00 PM
3276646,scheduled,Amherst,,2026-01-19T01:00:00+00:00,2026-01-18T21:00:00-04:00,G.R. Mitchell Welding,Colson Overhead Doors,https://www.amherstadulthockey.com/teams/default.asp?gameID=3276646&u=DSMALL&s=hockey&p=preview,,"{'name': 'G.R. Mitchell Welding', 'slug': 'gr-mitchell-welding', 'final': None, 'periods': [], 'is_winner': None}","{'name': 'Colson Overhead Doors', 'slug': 'colson-overhead-doors', 'final': None, 'periods': [], 'is_winner': None}",,,2026-01-18T21:00:00-04:00,01/18/2026,9:00 PM
3276647,scheduled,Amherst,,2026-01-21T00:45:00+00:00,2026-01-20T20:45:00-04:00,Ultramar,Maltby Sports,https://www.amherstadulthockey.com/teams/default.asp?gameID=3276647&u=DSMALL&s=hockey&p=preview,,"{'name': 'Ultramar', 'slug': 'ultramar', 'final': None, 'periods': [], 'is_winner': None}","{'name': 'Maltby Sports', 'slug': 'maltby-sports', 'final': None, 'periods': [], 'is_winner': None}",,,2026-01-20T20:45:00-04:00,01/20/2026,8:45 PM
3276650,scheduled,Amherst,,2026-01-21T02:00:00+00:00,2026-01-20T22:00:00-04:00,G.R. Mitchell Welding,J&K Electric,https://www.amherstadulthockey.com/teams/default.asp?gameID=3276650&u=DSMALL&s=hockey&p=preview,,"{'name': 'G.R. Mitchell Welding', 'slug': 'gr-mitchell-welding', 'final': None, 'periods': [], 'is_winner': None}","{'name': 'J&K Electric', 'slug': 'j-and-k-electric', 'final': None, 'periods': [], 'is_winner': None}",,,2026-01-20T22:00:00-04:00,01/20/2026,10:00 PM
3276653,scheduled,Amherst,,2026-01-26T01:00:00+00:00,2026-01-25T21:00:00-04:00,G.R. Mitchell Welding,Maltby Sports,https://www.amherstadulthockey.com/teams/default.asp?gameID=3276653&u=DSMALL&s=hockey&p=preview,,"{'name': 'G.R. Mitchell Welding', 'slug': 'gr-mitchell-welding', 'final': None, 'periods': [], 'is_winner': None}","{'name': 'Maltby Sports', 'slug': 'maltby-sports', 'final': None, 'periods': [], 'is_winner': None}",,,2026-01-25T21:00:00-04:00,01/25/2026,9:00 PM
3276657,scheduled,Amherst,,2026-01-28T00:45:00+00:00,2026-01-27T20:45:00-04:00,Ultramar,G.R. Mitchell Welding,https://www.amherstadulthockey.com/teams/default.asp?gameID=3276657&u=DSMALL&s=hockey&p=preview,,"{'name': 'Ultramar', 'slug': 'ultramar', 'final': None, 'periods': [], 'is_winner': None}","{'name': 'G.R. Mitchell Welding', 'slug': 'gr-mitchell-welding', 'final': None, 'periods': [], 'is_winner': None}",,,2026-01-27T20:45:00-04:00,01/27/2026,8:45 PM
